% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	3	1	107.882
0.042	1	1	2	107.881
0.043	1	4	3	107.882
0.044	1	5	4	107.883
0.046	1	2	6	107.882
0.081	1	3	1	107.879
0.082	1	1	2	107.876
0.083	1	4	3	107.88
0.084	1	5	4	107.881
0.086	1	2	6	107.877
0.121	1	3	1	107.873
0.122	1	1	2	107.867
0.123	1	4	3	107.875
0.124	1	5	4	107.877
0.126	1	2	6	107.87
0.161	1	3	1	107.865
0.162	1	1	2	107.855
0.163	1	4	3	107.869
0.164	1	5	4	107.873
0.166	1	2	6	107.859
0.201	1	3	1	107.856
0.202	1	1	2	107.839
0.203	1	4	3	107.862
0.204	1	5	4	107.867
0.206	1	2	6	107.846
0.241	1	3	1	107.843
0.242	1	1	2	107.82
0.243	1	4	3	107.852
0.244	1	5	4	107.86
0.246	1	2	6	107.831
0.281	1	3	1	107.829
0.282	1	1	2	107.798
0.283	1	4	3	107.841
0.284	1	5	4	107.852
0.286	1	2	6	107.812
0.321	1	3	1	107.812
0.322	1	1	2	107.772
0.323	1	4	3	107.828
0.324	1	5	4	107.843
0.326	1	2	6	107.791
0.361	1	3	1	107.794
0.362	1	1	2	107.742
0.363	1	4	3	107.814
0.364	1	5	4	107.832
0.366	1	2	6	107.766
0.401	1	3	1	107.773
0.402	1	1	2	107.709
0.403	1	4	3	107.798
0.404	1	5	4	107.82
0.406	1	2	6	107.74
0.441	1	3	1	107.749
0.442	1	1	2	107.673
0.443	1	4	3	107.78
0.444	1	5	4	107.807
0.446	1	2	6	107.71
0.481	1	3	1	107.724
0.482	1	1	2	107.633
0.483	1	4	3	107.76
0.484	1	5	4	107.793
0.486	1	2	6	107.677
0.521	1	3	1	107.696
0.522	1	1	2	107.59
0.523	1	4	3	107.739
0.524	1	5	4	107.777
0.526	1	2	6	107.642
0.561	1	3	1	107.667
0.562	1	1	2	107.544
0.563	1	4	3	107.716
0.564	1	5	4	107.76
0.566	1	2	6	107.604
0.601	1	3	1	107.635
0.602	1	1	2	107.494
0.603	1	4	3	107.692
0.604	1	5	4	107.742
0.606	1	2	6	107.563
0.641	1	3	1	107.6
0.642	1	1	2	107.441
0.643	1	4	3	107.665
0.644	1	5	4	107.723
0.646	1	2	6	107.52
0.681	1	3	1	107.564
0.682	1	1	2	107.384
0.683	1	4	3	107.637
0.684	1	5	4	107.702
0.686	1	2	6	107.474
0.721	1	3	1	107.526
0.722	1	1	2	107.324
0.723	1	4	3	107.608
0.724	1	5	4	107.68
0.726	1	2	6	107.425
0.761	1	3	1	107.485
0.762	1	1	2	107.261
0.763	1	4	3	107.577
0.764	1	5	4	107.657
0.766	1	2	6	107.373
0.801	1	3	1	107.442
0.802	1	1	2	107.194
0.803	1	4	3	107.544
0.804	1	5	4	107.633
0.806	1	2	6	107.319
0.841	1	3	1	107.397
0.842	1	1	2	107.124
0.843	1	4	3	107.509
0.844	1	5	4	107.607
0.846	1	2	6	107.262
0.881	1	3	1	107.35
0.882	1	1	2	107.051
0.883	1	4	3	107.473
0.884	1	5	4	107.581
0.886	1	2	6	107.202
0.921	1	3	1	107.301
0.922	1	1	2	106.974
0.923	1	4	3	107.435
0.924	1	5	4	107.553
0.926	1	2	6	107.139
0.961	1	3	1	107.25
0.962	1	1	2	106.894
0.963	1	4	3	107.395
0.964	1	5	4	107.524
0.966	1	2	6	107.074
